10K_75K_bias_dropQ_Hopper-v2-eval_return_mean,10K_75K_bias_dropQ_Hopper-v2-eval_return_std,10K_75K_bias_dropQ_Hopper-v2-mean_loss_q_mean,10K_75K_bias_dropQ_Hopper-v2-mean_loss_q_std,10K_75K_bias_dropQ_Hopper-v2-policy_loss_mean,10K_75K_bias_dropQ_Hopper-v2-policy_loss_std,vanilla_dropQ_bias_Hopper-v2-eval_return_mean,vanilla_dropQ_bias_Hopper-v2-eval_return_std,vanilla_dropQ_bias_Hopper-v2-mean_loss_q_mean,vanilla_dropQ_bias_Hopper-v2-mean_loss_q_std,vanilla_dropQ_bias_Hopper-v2-policy_loss_mean,vanilla_dropQ_bias_Hopper-v2-policy_loss_std,vanilla_redQ_Hopper-v2-eval_return_mean,vanilla_redQ_Hopper-v2-eval_return_std,vanilla_redQ_Hopper-v2-mean_loss_q_mean,vanilla_redQ_Hopper-v2-mean_loss_q_std,vanilla_redQ_Hopper-v2-policy_loss_mean,vanilla_redQ_Hopper-v2-policy_loss_std,sac_1_vanilla_bias_Hopper-v2-eval_return_mean,sac_1_vanilla_bias_Hopper-v2-eval_return_std,sac_1_vanilla_bias_Hopper-v2-mean_loss_q_mean,sac_1_vanilla_bias_Hopper-v2-mean_loss_q_std,sac_1_vanilla_bias_Hopper-v2-policy_loss_mean,sac_1_vanilla_bias_Hopper-v2-policy_loss_std
349.44434456082155,105.03942939770042,3.440528995589316,2.5657361162953825,-52.322182378567305,18.848656042492586,1017.2137739029291,637.8041459109047,3.1654817010674967,1.6906281817767739,-178.3028313275952,28.580829236305874,1027.1383203368705,715.4991402193987,14.167145049804201,6.960356303785026,-175.25785401983893,15.922933907266113,245.8906125700978,29.088009260956525,9.98016584348109,4.155531025649166,-91.46836184567576,6.510302026036371
350.839080814621,101.44907567378007,3.4664253677093093,2.50631068548254,-55.018858336267215,20.085959995928793,1081.471913094132,679.5806668685492,3.0648990427596057,1.6077660670575986,-179.7734917983513,29.21298999088961,1052.246420724125,740.2531039486341,13.885432894677297,6.912033716231532,-173.60873731902691,16.036086269186498,237.5250874987243,40.44916658011461,11.317677823586106,3.961202135730734,-93.7089699665281,6.665350162055781
351.79471432653713,95.60459608415832,3.3772556226101313,2.387179136640891,-58.81163505452037,21.4750685357251,1120.4563068643852,703.3705497815021,2.9706291420885345,1.5038611529323438,-181.05909702525446,29.779174303566077,1090.9149754444143,756.8638963026575,13.216983935043551,6.434665568362914,-171.62899395821796,16.08258056690324,244.34810119986338,37.978707802651115,10.837078316106952,3.6194204965671455,-96.05971222158428,6.959326162695906
353.5511804838336,90.51384103867422,3.3047404504400606,2.2160942694862706,-62.29068250182713,22.665972247146613,1180.71339734895,743.4680522586917,2.9125964626933714,1.419995088513579,-182.25113410007276,30.326460805159023,1174.645319840346,780.3612070049187,12.625758083348279,6.3809798469026555,-169.81763142763054,16.44575327270283,253.20645585631203,35.326655092602984,10.477795156623026,3.2853295278049015,-98.17383796903034,6.753228522622605
355.75705584644163,85.67544676600345,3.244419968418668,2.076959514414986,-65.3391958861659,23.5269465776903,1248.970614345293,773.4540468716716,2.9099204813181383,1.4039155121919102,-183.51689715490923,30.689309815621943,1250.547137754671,799.3033348074841,12.177645379261497,6.098888405578599,-168.0358765246136,16.307622614842913,259.6211021133116,32.03766815756826,10.226583963142426,3.114480686619565,-100.4193100833822,6.355648056224602
368.0301367460682,86.94078713468164,3.126751967929951,1.9098331094037384,-70.56865718744189,21.637441965857807,1356.8815350149582,798.4702264555331,2.8766996033256373,1.3316373577493446,-184.74520743941832,31.3493267627696,1326.1909484005384,813.8408151398971,11.69905457027822,5.774844953000374,-166.23279729500382,16.24254188838754,266.86420889242873,30.49840549736269,10.051175742304258,3.143070059211271,-102.68866027926761,5.865580763419525
382.64714977160907,88.14134699687014,3.0985613125531244,1.7932256751253863,-75.15800942524066,20.042188672984516,1370.879652818899,808.6958087517884,2.7813663667975472,1.2785487011543246,-186.02096562614054,31.56406684685293,1370.5041906299118,857.8984105086674,11.057241596770906,5.368694947867395,-164.14887059284717,15.85562689002223,273.54423622753086,29.732201389098336,10.389178027769267,3.254369733206526,-104.7566961068096,5.341199200749448
391.09514622802374,96.06318216278959,3.0142801277013156,1.6562613130644677,-79.55165947148613,18.393053141254928,1431.1943350956517,832.8109253996585,2.7623488759880015,1.2325862392604126,-187.44965641704212,31.588673018854127,1452.6301421737423,880.7582021389771,10.493883960836492,5.1109530596502095,-162.25819343346478,15.70398365290086,279.9228595062064,27.293291769183522,10.410097041780059,3.0507493473339937,-106.91876224441967,5.578639186680363
396.2515958958911,95.32772996388603,3.000107187524873,1.5732845623335026,-83.4081848085172,16.909254657041284,1447.2235335902506,835.5688261702745,2.711810218323894,1.1459002893601908,-188.8260304970176,31.417411328144883,1584.8196093233344,878.52452204461,9.895416611963537,4.834464630857543,-160.3121922053527,15.244966892646616,270.8440885748233,41.873114356488884,10.110166572678958,2.803753083102303,-109.11038478401579,5.772794387275022
412.3843224008051,99.8384975258827,3.120955829467271,1.6870828503441653,-86.97121657790962,15.671692885753384,1468.69755598982,840.2049698910396,2.668463902797962,1.1137664583294817,-190.3136465635268,31.47536553028133,1662.2375430564027,879.286290418778,9.318126247764253,4.428962582231408,-158.5092691884307,14.823454495600277,271.2361740153984,41.54797699262588,10.366922446920462,2.9327059970668534,-111.26438155341695,5.779573328674473
