10K_75K_bias_dropQ_Humanoid-v2-eval_return_mean,10K_75K_bias_dropQ_Humanoid-v2-eval_return_std,10K_75K_bias_dropQ_Humanoid-v2-mean_loss_q_mean,10K_75K_bias_dropQ_Humanoid-v2-mean_loss_q_std,10K_75K_bias_dropQ_Humanoid-v2-policy_loss_mean,10K_75K_bias_dropQ_Humanoid-v2-policy_loss_std,vanilla_dropQ_bias_Humanoid-v2-eval_return_mean,vanilla_dropQ_bias_Humanoid-v2-eval_return_std,vanilla_dropQ_bias_Humanoid-v2-mean_loss_q_mean,vanilla_dropQ_bias_Humanoid-v2-mean_loss_q_std,vanilla_dropQ_bias_Humanoid-v2-policy_loss_mean,vanilla_dropQ_bias_Humanoid-v2-policy_loss_std,vanilla_redQ_Humanoid-v2-eval_return_mean,vanilla_redQ_Humanoid-v2-eval_return_std,vanilla_redQ_Humanoid-v2-mean_loss_q_mean,vanilla_redQ_Humanoid-v2-mean_loss_q_std,vanilla_redQ_Humanoid-v2-policy_loss_mean,vanilla_redQ_Humanoid-v2-policy_loss_std,sac_1_vanilla_bias_Humanoid-v2-eval_return_mean,sac_1_vanilla_bias_Humanoid-v2-eval_return_std,sac_1_vanilla_bias_Humanoid-v2-mean_loss_q_mean,sac_1_vanilla_bias_Humanoid-v2-mean_loss_q_std,sac_1_vanilla_bias_Humanoid-v2-policy_loss_mean,sac_1_vanilla_bias_Humanoid-v2-policy_loss_std
342.08990064405157,65.7326786745617,83.59407536880995,25.837932940614355,-203.69519044193834,30.8312619766014,488.239125201249,54.338602042892504,51.290649155079834,11.445704269153573,-228.89138983909746,17.102651378997095,449.95106037772666,51.35117114990737,51.26243242390088,21.145837857944727,-256.5771869831842,47.757502298631614,331.4429511978238,36.16100796597314,55.52049069974464,23.893389091069512,-192.65864006688028,25.959738659600305
353.5894963272535,64.58937652208066,84.19217160847926,27.18398464325317,-206.2023986926664,29.24615310079122,500.9949732600541,55.25736127793654,49.6099639087613,10.680144971899283,-225.83959063790257,16.551947451207347,457.73293839604355,51.22451321792937,47.3903095733565,19.409738597593257,-250.10253560664316,43.88473413177234,332.01207308508424,37.12599792664219,57.08928920463997,21.96392158449809,-195.9022380352899,24.87026126105252
364.65037433796306,70.31612277557724,84.07382564819287,29.633025302089763,-208.40594330826303,27.717159277075925,512.4530654428775,58.48490664823688,48.0366466179218,10.210068479751737,-222.5999046454014,16.08060897312507,468.31612070364724,53.12611204018798,43.91737660796421,17.73405474444027,-244.002930544514,40.43423391965647,330.69142033801995,40.13141259957331,59.08782768123001,20.42227004741903,-198.80066576170884,22.662647389703213
370.74594984188184,70.75631928164026,82.81868994006304,30.199118574150454,-210.66419236122582,26.09390219788149,519.9035489241468,60.36094745793916,46.63601013911302,9.576899176653772,-220.4396697350605,15.652115573714912,478.3065647161769,52.677577405312114,40.88199597231427,16.22604620480173,-238.22351059797273,37.50420185667424,331.63309245518235,39.264644004178436,61.8579231886604,20.35196083591127,-201.9053256463127,20.96019285515527
374.5211684687983,74.49906375376732,82.48412952454795,33.46622656663253,-209.42096587412667,28.820949772514187,529.513536817044,62.94202624792639,45.07388926588775,8.966358488747582,-218.3700475491521,15.61155260603957,488.18882267536287,52.48367525528712,38.042401645468594,14.768437083008921,-233.07107683553875,34.366032319803836,331.36037109882875,41.76664828810304,63.56742683943954,19.499685548462047,-203.39106464743662,19.105919003541292
384.2667104857191,74.3835089450577,79.08128355054774,33.60938063917362,-208.17261226767104,29.877888558615027,537.4604528081637,59.84614481457301,43.8790414617355,8.46821236953065,-216.10531574345566,14.912232763364283,491.6637938594979,53.169049577298445,35.597362500208845,13.589472900029762,-228.7044549918286,32.33408001775745,335.9666758256032,42.692758798534705,66.58828120139403,19.367913703884007,-205.7321888955836,17.511710885775067
394.28142040649186,73.19064384425201,75.7243878386204,32.943266267423375,-207.33078408533754,30.881280847168306,558.6413155378744,63.88657483684628,42.69182491474408,7.992879657266287,-214.03697288981323,13.97155251622835,504.31084100924625,53.56047523778878,33.39392808429441,12.569712464455403,-224.1141324784856,29.542785027715873,338.6712303090499,47.68818729807052,68.31365718281712,19.56122440025222,-208.11854286165675,16.023783313687307
407.9822182568528,73.93934847490056,72.87622014240485,32.59441427295719,-203.08616682792683,30.40331884075437,572.1844035668513,68.15950295665631,41.884571019766256,7.886985358385166,-212.32193740503115,13.020565475285606,513.6920077178199,58.17612062937489,31.386221005845435,11.494152524804983,-220.6851108932347,27.468843241564713,337.0507319221504,53.66301243649267,72.40626175058685,18.955301376793898,-210.21624668095984,15.323889682118377
417.85127271984214,77.7203400008783,70.222545348013,32.68598275834847,-199.47423883531968,30.461926403734036,586.1683484080575,71.36373219475244,41.41561175104158,7.80316626081107,-211.39363648679367,13.025640264781824,522.3532566078545,60.44963321052776,29.410840879137847,10.480175995006586,-216.81537604902843,25.216186637861107,336.5328947820566,56.51651736822071,75.86143279639406,18.502350186140998,-211.60705945182872,14.451331161504372
428.06402949891697,76.87316420348925,67.64588918662479,32.178187551126705,-194.86258613098693,28.932225947984342,593.6549966214138,69.92200093712327,40.790504509653246,7.460901561314842,-210.22453589963774,12.409932546612492,533.3350857642406,64.21068104606655,27.670498597254337,9.572009698665429,-213.14425592459435,23.33597615666913,337.26990926204945,61.58752341041294,79.04609284113616,19.21174035807538,-213.12483352780473,13.063554799661242
439.5398680347654,74.53328436280235,63.61824381807217,29.418800363663177,-191.61942077960697,27.282119131328436,602.142014186233,69.68255293123711,39.9993479261806,7.293879109274223,-209.45219522471305,12.41548376086644,541.5666138299499,65.25021889283161,26.173034125712498,8.846562341902557,-210.16415436777945,21.611970377150943,336.3470636332209,59.493034867170316,81.93813679595483,17.76278717774926,-213.97072318120914,12.1480437487202
439.51737121986474,74.38711565492717,60.38626906089875,26.833232659093817,-188.5548136015486,25.87468086489226,617.9403627251379,74.12745916307588,39.357691675127484,7.096722055484578,-208.4834707583941,11.594566326089636,547.5690604209984,64.3195386913791,24.844907776129528,8.180252635123036,-206.8058849881304,20.218086279462376,343.2493592988566,59.00503572208877,90.0056733666035,21.526666042477203,-215.32379276982653,11.7770436711442
439.2476704247739,74.83241925697345,57.48448987972343,24.287151076708575,-186.43156826434296,24.313378941571546,625.989666104553,69.69198734311802,39.153333411545404,6.869226091565221,-208.09470986419532,11.026106220047025,557.5863805451852,69.64655508015693,23.618151922832983,7.61428383986732,-204.21186631353612,18.749099468368872,348.43663130237474,55.99923926044026,95.57080681526216,22.97199408628018,-215.72775280762252,11.846578654737733
443.43707982618764,71.9560718077932,55.644954389675895,22.29726389875248,-184.93916094962742,22.855131996769444,635.0029953731475,71.15267143921098,38.80819862538355,6.808862655997719,-207.8938826766039,11.012289143830454,561.7995430148349,73.14825635906232,22.515662566731326,7.060512031735139,-201.68813390581533,17.458726018329738,350.48452373826115,56.95341285843975,99.05004179739154,24.10951356480172,-216.28995982666498,11.863235654432895
446.0996365734157,76.75759916572133,53.453962673852836,20.543612313914455,-183.57372782585608,21.41150503965095,640.7496256397377,71.59215667929496,38.11923472750584,6.740514112130397,-208.41049477515446,11.070413613252995,567.5210671556507,72.21186242713348,21.405173778930262,6.581879324047045,-199.3732331739252,17.001680364199895,351.1592832379903,58.21624420216119,102.96432192958272,24.860161561779478,-217.10018147502063,12.148576102065425
448.7511839944473,80.54455851683079,51.80680226157009,19.042036034295762,-182.23187323174704,20.214192222920836,649.9722774968315,81.35390823932306,37.770147825495,6.582617680836178,-208.96114115945542,11.409341275563493,571.5351891923686,70.61946370892899,20.487442320226688,6.089519103426905,-197.41841473934517,16.247300283563746,356.72817815218514,57.727326110219316,108.07835726592134,22.800902805644466,-217.27030401355373,11.881101096678252
461.86518956248426,80.43920972188654,50.45675756397753,17.501965471123945,-181.44878203894345,18.88540668517564,657.612683134233,79.9787135915958,37.70904025424921,6.697351562042213,-209.36495227544347,11.386815574298158,577.8149692120909,70.04787995558468,19.66076644757902,5.683286623690658,-195.45970345339896,15.27347696352797,361.6621894528941,58.624259033649665,113.54434050905577,23.624821431778827,-217.7006334347895,12.813013720271229
